,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Nizwa,OM,75.45,few clouds,22.9333,57.5333,Orient Apartments
628,Songea,TZ,69.8,few clouds,-10.6833,35.65,mtakuja
630,Pasighat,IN,77.45,overcast clouds,28.0667,95.3333,Siang Guest House
631,Minab,IR,78.8,broken clouds,27.1467,57.0801,Bam campground
632,Ambon,ID,81.32,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
633,Singaraja,ID,78.24,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
634,Nouadhibou,MR,71.6,clear sky,20.930999999999997,-17.0347,El Medina
635,Navirai,BR,82.69,clear sky,-23.065,-54.1906,Dubai Hotel - Também sua casa!
639,Les Cayes,HT,83.32,scattered clouds,18.2,-73.75,Villa Orphee
641,Dibulla,CO,79.29,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
642,Neon Karlovasion,GR,68.0,clear sky,37.7903,26.7044,Hotel Aegeon
643,Boma,GH,81.1,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
644,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Veranda Palmar Beach Hotel
648,Kiunga,PG,71.47,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
649,Simoes,BR,87.37,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
651,Wenchi,GH,84.27,overcast clouds,7.7392,-2.1046,Ebenezer Hotel
653,Moindou,NC,68.0,clear sky,-21.6924,165.67700000000002,Gite de la RYAWA
654,Dangriga,BZ,87.8,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
655,Mandan,US,66.2,clear sky,46.8267,-100.8896,Twin City Estates
657,Arona,ES,71.6,broken clouds,28.0996,-16.680999999999997,Paradise Court
658,Yokadouma,CM,70.54,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
659,Talara,PE,82.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
660,Kahului,US,75.2,light rain,20.8947,-156.47,Maui Seaside Hotel
662,Kontagora,NG,92.19,clear sky,10.3999,5.4695,Queens Guest Inn
664,Nueva Helvecia,UY,73.99,light rain,-34.3,-57.2333,La Posada de Ofelia
665,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
668,Salinas,US,69.8,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
671,Santa Fe,AR,78.01,clear sky,-31.6333,-60.7,Conquistador Hotel
673,Nago,JP,71.6,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
