,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Korla,CN,72.37,clear sky,41.7597,86.1469,Gulisitan Hotel
148,Nanchong,CN,73.06,light rain,30.7951,106.0847,Marine Una Century Hotel
149,Gujar Khan,PK,76.12,overcast clouds,33.2558,73.3026,Tanzeem e Islami Halqa Gujar Khan
150,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
153,Georgetown,MY,77.0,light rain,5.4112,100.3354,Cititel Penang
154,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
158,Lorengau,PG,79.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
162,Tura,IN,75.83,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
164,Ambilobe,MG,74.37,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
170,Arraial Do Cabo,BR,77.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
171,Richards Bay,ZA,65.46,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
174,Russell,US,80.6,clear sky,32.3502,-85.1999,Macs
176,Pitimbu,BR,82.4,few clouds,-7.4706,-34.8086,Reserva do Abiaí
185,Punta De Bombon,PE,69.48,scattered clouds,-17.1717,-71.7931,Hotel Bedregal
186,Faanui,PF,79.48,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Caravelas,BR,74.08,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
191,Kisangani,CD,71.28,overcast clouds,0.5167,25.2,Grand Ramela Hotel
192,Kavieng,PG,81.55,broken clouds,-2.5744,150.7967,Nusa Island Retreat
198,Swift Current,CA,71.6,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
199,Gazanjyk,TM,74.61,broken clouds,39.2446,55.5154,Railway motel
202,Weston,US,93.0,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
203,Dawlatabad,AF,73.76,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
209,Quepos,CR,80.6,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
211,Namatanai,PG,78.44,few clouds,-3.6667,152.4333,Namatanai Hotel
212,Varzob,TJ,68.0,haze,38.7737,68.8178,Мавқеъи пӯшида «Шамси Сохиб»
213,Cruzilia,BR,68.9,broken clouds,-21.8386,-44.8083,Pousada Cruzília
214,Longido,TZ,67.64,broken clouds,-2.7333,36.6833,Longido Mountain Lodge
215,Honiara,SB,76.17,overcast clouds,-9.4333,159.95,Heritage Park Hotel
216,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
220,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
222,Jalu,LY,91.4,clear sky,29.0331,21.5482,صاحبة الفخامة
223,Embonas,GR,71.6,clear sky,36.2269,27.8564,Hotel Ataviros
224,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
226,Itarema,BR,81.68,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
227,Piacabucu,BR,80.76,few clouds,-10.4056,-36.4344,Piaçabuçu News
228,Mabaruma,GY,86.13,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
230,Kieta,PG,78.12,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
231,Nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
232,Faya,SA,69.8,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
235,Matara,LK,77.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
236,Dalbandin,PK,78.98,broken clouds,28.8947,64.4101,Sanjrani House
240,Syracuse,IT,73.4,clear sky,37.0881,15.2792,Hotel Posta
242,Acari,PE,78.3,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
247,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
248,Stabat,ID,77.0,scattered clouds,3.761,98.4513,Link VII damai
249,Saint Simons,US,89.6,few clouds,31.1352,-81.3901,Holiday Inn Express Saint Simons Island
250,Ugoofaaru,MV,83.71,broken clouds,5.6667,73.0,Ungoofaaru Inn
251,Saint Pete Beach,US,82.99,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
254,Lianzhou,CN,65.77,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
256,Luau,AO,66.31,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
259,San Cristobal,VE,71.6,broken clouds,7.7669,-72.225,Posada Villaven C.A.
260,Samana,DO,89.6,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
262,Vila Velha,BR,78.01,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
264,Saint-Leu,RE,75.2,clear sky,-21.15,55.2833,La Caz Oceane
268,Payson,US,75.0,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
270,Ternate,ID,80.46,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
273,Effingham,US,87.8,broken clouds,32.3669,-81.3332,Elizabeth Hobbs
274,Bandarbeyla,SO,84.18,scattered clouds,9.4942,50.8122,JABIR HOTEL
279,Kabanjahe,ID,77.0,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
280,Gua Musang,MY,73.54,overcast clouds,4.8823,101.9644,Mines Inn Hotel
281,Trancoso,MX,73.4,scattered clouds,22.7333,-102.3667,Ex Hacienda De Trancoso
283,Myitkyina,MM,70.57,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
284,Makokou,GA,72.81,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
286,Nyimba,ZM,72.19,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
287,Sibolga,ID,76.82,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
289,Bubaque,GW,78.82,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
292,Odweyne,SO,76.84,light rain,9.4092,45.06399999999999,Eng Hiirey House
293,Pandaria,IN,83.62,scattered clouds,22.2333,81.4167,"SC,ST Hostel,Samrupara"
295,Naze,JP,66.49,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
296,Natal,BR,80.6,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
297,Joao Pinheiro,BR,75.11,overcast clouds,-17.7425,-46.1725,Hotel Santos
298,Altamont,US,72.0,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
301,Port Blair,IN,81.61,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
303,Bangui,CF,82.4,clear sky,4.3612,18.555,SAM HOTEL
304,Gresham,US,66.2,overcast clouds,45.4982,-122.4315,McMenamins Edgefield
305,South Lake Tahoe,US,79.0,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
306,Komsomolskiy,UZ,75.2,overcast clouds,40.4272,71.7189,Ikathouse
307,Omboue,GA,79.29,overcast clouds,-1.5746,9.2618,Hotel Olako
310,Lazaro Cardenas,MX,84.45,few clouds,17.9583,-102.2,Hotel Quinta Antigua
311,Hualmay,PE,72.07,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
313,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
315,Ibra,OM,78.94,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
316,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
320,Sao Joao Da Barra,BR,77.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
325,Kupang,ID,76.5,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
327,Sabha,LY,90.59,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
330,Eyl,SO,84.04,scattered clouds,7.9803,49.8164,Amiin Hotel
334,Boyolangu,ID,74.66,overcast clouds,-8.1181,111.8935,Yos ega cv
338,San Luis,AR,74.08,broken clouds,-33.295,-66.3356,Huarpes Hotel
340,Tatui,BR,75.99,overcast clouds,-23.3556,-47.8569,Hotel Del Fiol
341,Daru,PG,77.67,broken clouds,-9.0763,143.2092,Daru Lodge
342,Chicama,PE,66.2,few clouds,-7.8447,-79.1469,Balihai Bungalows
344,Los Llanos De Aridane,ES,68.0,scattered clouds,28.6585,-17.9182,Valle Aridane
347,Palasa,IN,76.6,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
351,Biltine,TD,91.58,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
353,Giyani,ZA,69.33,clear sky,-23.3025,30.7187,Kulani Country Lodge
354,Khartoum,SD,93.99,overcast clouds,15.5518,32.5324,Hotel China
355,Urumqi,CN,75.2,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
359,Cameta,BR,83.95,broken clouds,-2.2444,-49.4958,Hotel San Juan
361,Half Moon Bay,US,71.01,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
362,Palauig,PH,79.61,clear sky,15.435,119.9045,Myhousebythesea
364,Buchanan,LR,78.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
365,Mubarakpur,IN,86.41,clear sky,26.09,83.2922,BABU FRY WALE
366,Progreso,MX,98.01,broken clouds,21.2833,-89.6667,Playa Linda Hotel
367,Mapiripan,CO,78.51,light rain,2.8892,-72.1256,Monserrate
369,Bonthe,SL,82.51,few clouds,7.5264,-12.505,Bonthe Holiday Village
373,Portland,US,66.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
374,Finschhafen,PG,78.6,broken clouds,-6.6024,147.8681,Cossam Guest House
375,Kalmunai,LK,80.13,overcast clouds,7.4167,81.8167,VS Villa
376,Tikrit,IQ,85.77,clear sky,34.6071,43.6782,فندق تكريت بلازا
378,Lodhran,PK,88.83,broken clouds,29.5405,71.6336,Gulshan e khalil
379,Mackay,AU,66.2,few clouds,-21.15,149.2,International Lodge Motel
380,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
383,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
386,Maymyo,MM,65.7,clear sky,22.0333,96.4667,Tiger Hotel
387,Marsabit,KE,71.33,broken clouds,2.3284,37.9899,Chicho Hotel
389,Saint George,US,87.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
390,Sokoni,TZ,80.6,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
391,Santa Isabel Do Rio Negro,BR,84.69,broken clouds,-0.4139,-65.0192,Hotel GSA
394,Siva,EG,91.51,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
396,Tarn Taran,IN,86.0,haze,31.45,74.9253,park avenue
399,Camocim,BR,80.92,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
407,Marau,BR,72.52,clear sky,-28.4492,-52.2,Hotel Pousada Tordilho Negro
408,Carutapera,BR,75.31,overcast clouds,-1.195,-46.02,Lidera
409,Soyo,AO,79.43,broken clouds,-6.1349,12.3689,Hotel Mpampa
412,Elizabeth City,US,78.01,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
414,Kafue,ZM,69.89,scattered clouds,-15.7691,28.1814,Purview Lodges Ltd
415,Maturin,VE,82.74,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
416,Godfrey,US,78.8,clear sky,38.9556,-90.1868,Super 8 by Wyndham Alton
418,Guacui,BR,66.34,overcast clouds,-20.7756,-41.6794,Hotel Moreira
419,Kavaratti,IN,84.6,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
420,Sampit,ID,74.41,heavy intensity rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
423,Trairi,BR,82.47,few clouds,-3.2778,-39.2689,janelas do mar
424,Springdale,US,78.01,clear sky,36.1867,-94.1288,Springdale Inn
